Date,Open,High,Low,Close,Adj Close,Volume
2016-04-01,8.360000,10.540000,7.540000,10.230000,9.491099,763311500
2016-05-01,10.250000,10.500000,8.040000,8.040000,7.459281,1189974600
2016-06-01,8.090000,9.750000,7.860000,9.420000,8.739605,1183668000
2016-07-01,9.480000,12.250000,8.950000,11.870000,11.012644,1120804200
2016-08-01,11.930000,13.230000,11.100000,12.850000,11.921861,1134964600
2016-09-01,12.970000,14.290000,12.760000,13.570000,12.589855,1015943000
2016-10-01,13.670000,18.490000,13.620000,17.690001,16.412273,1132745000
2016-11-01,17.879999,17.879999,13.330000,16.000000,14.844340,1299424600
2016-12-01,16.000000,16.350000,14.010000,14.870000,13.795959,785062700
2017-01-01,14.640000,16.430000,14.600000,15.020000,13.935124,651404800
2017-02-01,15.260000,16.230000,14.270000,15.180000,14.083568,676667100
2017-03-01,15.510000,15.550000,12.820000,14.490000,13.443405,963864800
2017-04-01,14.540000,15.160000,13.550000,13.970000,12.960964,662858400
2017-05-01,13.970000,15.870000,12.450000,12.960000,12.023914,1041819300
2017-06-01,13.160000,13.340000,11.590000,12.370000,11.476531,858615900
2017-07-01,12.280000,13.350000,11.740000,13.290000,12.330080,685724000
2017-08-01,13.300000,14.030000,12.910000,13.650000,12.664077,894388700
2017-09-01,13.850000,15.960000,13.820000,15.300000,14.194900,873230800
2017-10-01,15.190000,17.170000,15.060000,16.770000,15.558724,802329100
2017-11-01,16.990000,17.440001,14.990000,15.380000,14.269123,758835700
2017-12-01,15.340000,16.139999,14.950000,16.100000,14.937117,646229500
2018-01-01,16.100000,20.049999,16.100000,16.549999,15.354614,975588500
2018-02-01,19.760000,21.850000,18.510000,21.459999,19.909966,946144700
2018-03-01,21.400000,22.629999,20.510000,21.410000,19.863581,976136300
2018-04-01,21.360001,23.020000,20.110001,22.969999,21.310905,1060623900
2018-05-01,22.969999,27.600000,16.910000,18.980000,17.609097,2015213100
2018-06-01,19.559999,19.750000,14.170000,17.190001,15.980284,1698415200
2018-07-01,16.990000,20.100000,16.900000,19.719999,18.332239,1114260900
2018-08-01,19.590000,21.549999,17.650000,19.260000,17.904610,1339189500
2018-09-01,18.990000,21.940001,18.230000,21.090000,19.654865,1124591400
2018-10-01,21.250000,28.330000,20.799999,27.620001,25.740517,2163202200
2018-11-01,27.760000,28.299999,23.910000,25.459999,23.727497,1612412900
2018-12-01,26.299999,26.530001,20.420000,22.680000,21.220982,1451679000
2019-01-01,22.680000,25.959999,22.280001,25.580000,24.757643,1349415500
2019-02-01,25.500000,27.750000,24.540001,27.059999,26.190065,1111798700
2019-03-01,27.139999,29.600000,26.219999,28.059999,27.157915,1237520100
2019-04-01,28.400000,29.570000,25.549999,27.110001,26.238457,1435353100
2019-05-01,27.110001,27.469999,24.469999,25.549999,24.745960,1055042900
2019-06-01,25.879999,28.389999,25.559999,27.410000,26.648024,923989800
2019-07-01,27.840000,28.740000,25.959999,26.080000,25.354996,818191600
2019-08-01,26.299999,26.889999,23.680000,25.500000,24.791121,1191706000
2019-09-01,25.389999,28.240000,25.030001,27.549999,26.994616,975617500
2019-10-01,27.600000,30.459999,25.950001,30.389999,29.777365,993791100
2019-11-01,30.590000,31.230000,28.100000,29.150000,28.562363,1123181200
2019-12-01,29.400000,31.049999,28.730000,30.180000,29.768024,854191300
2020-01-01,30.180000,31.240000,27.670000,28.450001,28.450001,940872800
2020-02-01,28.520000,30.889999,24.620001,25.340000,25.340000,1095608700
2020-03-01,25.500000,27.480000,10.850000,12.070000,12.070000,2026179100
